Label	X,Y			W-H
-----------------------------
F1		143,353		61-59
F2		224,353		61-59
F3		306,353		61-59
F4		388,353		61-59
FMT		470,353		61-59
REP		413,435		61-59
RAD		224,435		61-59
KVI		306,435		61-59
SKR		388,435		61-59
DDA		470,435		61-59
SND		143,516		61-59
EKV		224,516		61-59
MOT		306,516		61-59
AVS		388,516		61-59
ISK		470,516		61-59

OPM		604,435		61-59
EFF		686,435		61-59
ÄND		767,435		61-59
BEL		604,516		61-59
SLT		686,516		61-59
ENT		767,516		61-59

1		879,272		61-59
2		961,272		61-59
3		1042,272	61-59
4		879,353		61-59
5		961,353		61-59
6		1042,353	61-59
7		879,435		61-59
8		961,435		61-59
9		1042,435	61-59
*		879,516		61-59
0		961,516		61-59
#		1042,516	61-59

Q !		143,639		61-59
W "		224,639		61-59
E #		306,639		61-59
R @		388,639		61-59
T %		470,639		61-59
Y &		551,639		61-59
U /		632,639		61-59
I /		714,639		61-59
O (		796,639		61-59
P )		877,639		61-59
Å +		958,639		61-59
DEL		1040,639	61-59
A		184,721		61-59
S		266,721		61-59
D		347,721		61-59
F		429,721		61-59
G ´		510,721		61-59
H ^		592,721		61-59
J $		673,721		61-59
K <		755,721		61-59
L >		837,721		61-59
Ö *		918,721		61-59
Ä ?		1000,721	61-59
SHIFT	143,802		61-59
Z		224,802		61-59
X		306,802		61-59
C		388,802		61-59
V		470,802		61-59
B		551,802		61-59
N		632,802		61-59
M		714,802		61-59
, ;		796,802		61-59
. :		877,802		61-59
- _		958,802		61-59
ENT		1040,802	61-59
LARROW	224,884		61-59
RARROW	306,884		61-59
UARROW	388,884		61-59
DARROW	470,884		61-59
SPACE	551,884		307-59
PGUP	877,884		61-59
PGDOWN	958,844		61-59
